Date,Open,High,Low,Close,Adjusted_close,Volume
2018-11-06,201.92,204.72,201.69,203.77,49.3538,127531524
2018-11-07,205.97,210.06,204.13,209.95,50.8506,133697720
2018-11-08,209.98,210.12,206.75,208.49,50.6732,101450564
2018-11-09,205.55,206.01,202.25,204.47,49.6961,137463016
2018-11-12,199,199.85,193.79,194.17,47.1927,204542080
2018-11-13,191.63,197.18,191.4501,192.23,46.7212,187531764
2018-11-14,193.9,194.48,185.93,186.8,45.4015,243203844
2018-11-15,188.39,191.97,186.9,191.41,46.5219,185915204
2018-11-16,190.5,194.9695,189.46,193.53,47.0372,147712984
2018-11-19,190,190.7,184.99,185.86,45.173,167683484
2018-11-20,178.37,181.47,175.51,176.98,43.0147,271301000
2018-11-21,179.73,180.27,176.55,176.78,42.9661,124496844
2018-11-23,174.94,176.595,172.1,172.29,41.8748,94495884
2018-11-26,174.24,174.95,170.26,174.62,42.4411,179994080
2018-11-27,171.51,174.77,170.88,174.24,42.3488,165549516
2018-11-28,176.73,181.29,174.93,180.94,43.9772,184250156
2018-11-29,182.66,182.8,177.7,179.55,43.6394,167079968
2018-11-30,180.29,180.33,177.03,178.58,43.4036,158126204
2018-12-03,184.46,184.94,181.21,184.82,44.9202,163192000
2018-12-04,180.95,182.3899,176.27,176.69,42.9442,165377124
2018-12-06,171.76,174.78,170.42,174.72,42.4654,172393624
2018-12-07,173.49,174.49,168.3,168.49,40.9512,169126532
2018-12-10,165,170.09,163.33,169.6,41.221,248103968
2018-12-11,171.66,171.79,167,168.63,40.9853,189126688
2018-12-12,170.4,171.92,169.02,169.1,41.0995,142510688
2018-12-13,170.49,172.57,169.55,170.95,41.5491,127591320
2018-12-14,169,169.08,165.28,165.48,40.2197,162814844
2018-12-17,165.45,168.35,162.73,163.94,39.8454,177151688
2018-12-18,165.38,167.53,164.39,166.07,40.3631,135366080
2018-12-19,166,167.45,159.09,160.89,39.1041,196189204
2018-12-20,160.4,162.11,155.3,156.83,38.1173,259091844
2018-12-21,156.86,158.16,149.63,150.73,36.6347,382977532
2018-12-24,148.15,151.55,146.59,146.83,35.6868,148676920
2018-12-26,148.3,157.23,146.72,157.17,38.1999,234330156
2018-12-27,155.84,156.77,150.07,156.15,37.952,212468280
2018-12-28,157.5,158.52,154.55,156.23,37.9715,169165688
2018-12-31,158.53,159.36,156.48,157.74,38.3385,140013892
2019-01-02,154.89,158.85,154.23,157.92,38.3822,148158952
2019-01-03,143.98,145.72,142,142.19,34.5591,365248812
2019-01-04,144.53,148.5499,143.8,148.26,36.0344,234428280
2019-01-07,148.7,148.83,145.9,147.93,35.9542,219111048
2019-01-08,149.56,151.82,148.52,150.75,36.6396,164101248
2019-01-09,151.29,154.53,149.63,153.31,37.2618,180396312
2019-01-10,152.5,153.97,150.86,153.8,37.3809,143122688
2019-01-11,152.88,153.7,151.51,152.29,37.0139,108092960
2019-01-14,150.85,151.27,149.22,150,36.4573,129756756
2019-01-15,150.27,153.39,150.05,153.07,37.2034,114841280
2019-01-16,153.08,155.88,153,154.94,37.6579,122278844
2019-01-17,154.2,157.66,153.26,155.86,37.8815,119284640
2019-01-18,157.5,157.88,155.9806,156.82,38.1149,135004080
2019-01-22,156.41,156.73,152.62,153.3,37.2593,121575884
2019-01-23,154.15,155.14,151.7,153.92,37.41,92522280
2019-01-24,154.11,154.48,151.74,152.7,37.1135,101766204
2019-01-25,155.48,158.13,154.32,157.76,38.3433,134191564
2019-01-28,155.79,156.33,153.66,156.3,37.9885,104768244
2019-01-29,156.25,158.13,154.11,154.68,37.5947,166348952
2019-01-30,163.25,166.15,160.23,165.25,40.1638,244439124
2019-01-31,166.11,169,164.56,166.44,40.453,162958592
2019-02-01,166.96,168.98,165.93,166.52,40.4724,130672564
2019-02-04,167.41,171.655,167.28,171.25,41.6221,125982320
2019-02-05,172.86,175.08,172.3501,174.18,42.3342,144406532
2019-02-06,174.65,175.57,172.8531,174.24,42.3488,112958360
2019-02-07,172.4,173.94,170.34,170.94,41.5467,126966756
2019-02-08,168.99,170.66,168.42,170.41,41.5955,95279884
2019-02-11,171.05,171.21,169.25,169.43,41.3563,83973720
2019-02-12,170.1,171,169.7,170.89,41.7127,89134080
2019-02-13,171.39,172.48,169.92,170.18,41.5394,89960920
2019-02-14,169.71,171.2615,169.38,170.8,41.6907,87343000
2019-02-15,171.25,171.7,169.75,170.42,41.598,98507244
